,0,1,2,3,4,5,6,7,8
Beta,-0.026327678649250112,-0.042811593793661645,,-0.09098300987613529,0.07954588993099028,0.07065967883368063,,0.15508923611786393,-0.19683934733744565
Max. Drawdown [%],-96.49885137832037,-97.90599718239386,-100.0,-93.06131402298313,-97.70941003298398,-82.88137684927985,-100.0,-98.71876396317677,-94.84670973125944
Avg. Drawdown [%],-36.16847477827908,-11.248239465414988,-28.113511425452025,-93.06131402298313,-17.050667472517098,-82.88137684927985,-12.099436056269758,-98.71876396317677,-47.78637897621664
Max. Drawdown Duration,3588 days 00:00:00,1683 days 00:00:00,2801 days 00:00:00,1689 days 00:00:00,1170 days 00:00:00,1992 days 00:00:00,1184 days 00:00:00,3819 days 00:00:00,3840 days 00:00:00
Avg. Drawdown Duration,967 days 00:00:00,61 days 00:00:00,564 days 00:00:00,1689 days 00:00:00,73 days 00:00:00,1992 days 00:00:00,82 days 00:00:00,3819 days 00:00:00,1924 days 00:00:00
# Trades,155,105,2,62,71,81,9,114,116
Win Rate [%],41.935483870967744,43.80952380952381,50.0,43.54838709677419,46.478873239436616,38.2716049382716,44.44444444444444,31.57894736842105,36.206896551724135
Best Trade [%],141.09830229643512,134.67530347978064,292.4268334012744,115.20512032202635,1664.8250965750308,10.660343443697773,69.93347979966393,87.76919178304132,22.97009791108058
Worst Trade [%],-47.964811746317,-27.432704418748134,-99.61882410334337,-43.52292520892351,-50.04030866690496,-13.284719676073898,-102.09523518880208,-36.640039547394764,-20.72248340953744
Avg. Trade [%],0.5140507679527451,1.0537858923412413,-87.76956051100977,-0.36699598026618263,2.4564501264774607,-0.15669533810860337,0.0,-1.611362448274889,-0.4562754170429728
Max. Trade Duration,97 days 00:00:00,132 days 00:00:00,22 days 00:00:00,213 days 00:00:00,212 days 00:00:00,127 days 00:00:00,142 days 00:00:00,264 days 00:00:00,146 days 00:00:00
Avg. Trade Duration,25 days 00:00:00,27 days 00:00:00,16 days 00:00:00,27 days 00:00:00,25 days 00:00:00,25 days 00:00:00,42 days 00:00:00,34 days 00:00:00,34 days 00:00:00
Profit Factor,1.4241013179295214,1.5374562008070007,2.935457590805472,1.338173202539847,3.8049322838403628,0.9555076864508116,0.864242183592101,1.0019842699993127,0.9638753570836452
Expectancy [%],2.604722946126783,3.599690160599103,96.40400464896553,2.8285156106644465,25.503834347512257,-0.06952490390464026,-2.354414138105903,0.013332967449619454,-0.11993523795071424
SQN,0.3144500146124004,0.5559912100059257,-0.1343408199327201,-0.6258207855790406,0.5700873150606713,-0.3365221095347551,-0.47654777291628375,-0.6468543449596329,-0.6465665195121584
Kelly Criterion,0.029815017383736098,0.08113976075895757,-0.15518904324711136,-0.11505995575458977,0.0851947854853844,-0.05146087015661799,-0.30195849028849975,-0.06363697488298953,-0.07314124069462719
