,0,1,2,3,4,5,6,7,8
Alpha [%],-2255.2615354842674,22.285043388185528,-438.97259636181354,-81.9036665086583,1264.9779014093,-70.19634404750346,-72.85535350916764,-11893.374883242566,-235.68491333951764
Beta,0.45041139898722937,0.22788676979836728,0.05781979939345915,-0.024683115243821906,0.3594659072399838,0.31537696097595136,0.0016821748350134144,0.38120927197326443,0.24651675394698017
Max. Drawdown [%],-73.20019943176376,-82.36027170357426,-77.35637679985695,-81.45220666018815,-82.6043222710174,-52.14578871568691,-76.79774088998634,-55.96828495434634,-68.13177143724435
Avg. Drawdown [%],-10.932199148671035,-14.903203782340421,-27.56097303225542,-81.45220666018815,-17.702056972153727,-5.609898725950349,-23.49156720609281,-8.42811517846154,-16.632843086002588
Max. Drawdown Duration,1308 days 00:00:00,1573 days 00:00:00,2643 days 00:00:00,1758 days 00:00:00,1585 days 00:00:00,1847 days 00:00:00,975 days 00:00:00,911 days 00:00:00,3658 days 00:00:00
Avg. Drawdown Duration,58 days 00:00:00,112 days 00:00:00,680 days 00:00:00,1758 days 00:00:00,120 days 00:00:00,175 days 00:00:00,242 days 00:00:00,71 days 00:00:00,747 days 00:00:00
# Trades,61,48,64,39,33,42,21,45,59
Win Rate [%],37.704918032786885,25.0,26.5625,15.384615384615385,18.181818181818183,30.952380952380953,9.523809523809524,28.888888888888886,28.8135593220339
Best Trade [%],1614.7771368219967,318.98688767826434,86.20255803451387,36.43736614433319,2406.237612350909,18.75209052635678,21.990556037857683,142.3892286740247,36.18441398189448
Worst Trade [%],-7.264600013756148,-7.464711744380609,-7.468374586171353,-7.208710884731988,-7.21283377321746,-7.050000000000005,-33.19098948228805,-14.561633936428523,-10.48571495308873
Avg. Trade [%],8.759912021501526,1.3861100512480462,-1.8625546364465895,-4.225088745664474,8.607660392161677,-1.114217367243442,-6.079500015267003,3.6012962166071194,-1.8579016148744465
Max. Trade Duration,489 days 00:00:00,236 days 00:00:00,158 days 00:00:00,103 days 00:00:00,165 days 00:00:00,158 days 00:00:00,72 days 00:00:00,340 days 00:00:00,234 days 00:00:00
Avg. Trade Duration,38 days 00:00:00,22 days 00:00:00,18 days 00:00:00,8 days 00:00:00,24 days 00:00:00,44 days 00:00:00,11 days 00:00:00,48 days 00:00:00,44 days 00:00:00
Profit Factor,9.192268087271618,2.218864840132985,0.7112939439735567,0.28361996031790426,14.31382516520047,0.6094193589258253,0.21835102599613365,2.4680410898860523,0.666514713109184
Expectancy [%],33.128231812790915,5.948706632335287,-1.2546490581298402,-3.9571099554934333,72.69984716438847,-0.9806680132253519,-5.584671468985881,6.5709024385558426,-1.418714543818251
SQN,1.7199579054844512,0.21342541943100637,-1.1660594430863487,-2.6367599682966394,0.40573997518305693,-1.5047743570055265,-2.3514721792373483,0.9487957299783435,-1.6395627307048446
Kelly Criterion,0.21803795561765862,0.03406376858274529,-0.1730396075532572,-0.3720287432989472,0.04213504947532093,-0.2651441385341934,-0.32839792321789757,0.13358316738030254,-0.22711258913745735
