,0,1,2,3,4,5,6,7,8
Alpha [%],-5045.854548675645,242.22109751813286,-5905.490076476546,170.59218395937822,2649.7428743794426,-111.73210976262186,-96.28646098995841,-6637.921154807629,-50.82956317529132
Beta,0.12077431674735736,0.0934092739865963,0.14997836825425048,0.17897219513834697,0.1730313406013035,0.19202076724991632,0.13861452929160226,0.18324020607988326,-0.0444281444941612
Max. Drawdown [%],-96.05643777711497,-92.82228586051626,-77.32216267574026,-80.92429291633707,-84.24464878614727,-89.08071246961877,-96.23063589826965,-76.92736903261087,-87.54651881569107
Avg. Drawdown [%],-11.801671628388863,-13.425462355305246,-16.507633880008584,-17.0937045991169,-15.968464328453159,-45.05866833645734,-51.646693791804175,-15.89408185605691,-33.56137893455407
Max. Drawdown Duration,1696 days 00:00:00,1114 days 00:00:00,554 days 00:00:00,1117 days 00:00:00,420 days 00:00:00,1992 days 00:00:00,1512 days 00:00:00,3167 days 00:00:00,1943 days 00:00:00
Avg. Drawdown Duration,71 days 00:00:00,52 days 00:00:00,71 days 00:00:00,86 days 00:00:00,43 days 00:00:00,997 days 00:00:00,761 days 00:00:00,385 days 00:00:00,764 days 00:00:00
# Trades,169,127,127,82,84,109,55,124,113
Win Rate [%],44.37869822485207,42.51968503937008,40.15748031496063,42.68292682926829,46.42857142857143,44.03669724770643,32.72727272727273,41.12903225806452,37.16814159292036
Best Trade [%],280.7892765669975,145.50081914754801,411.3140230621288,489.0645220526166,1459.8946864253533,15.349088156454727,79.16034650980144,98.50787653503643,72.31156240232994
Worst Trade [%],-20.126053735117942,-20.22387692765566,-20.490970203958668,-20.28953237093496,-20.11527412420755,-11.685515544792757,-33.14997237823506,-21.671568527484443,-15.795958130957288
Avg. Trade [%],3.1471076080896276,3.176969719967948,3.515459504552232,3.2154522317769496,6.0439527648255,-0.011582237528895423,-3.0662960170662945,1.597130060573071,0.3018872229773928
Max. Trade Duration,105 days 00:00:00,82 days 00:00:00,106 days 00:00:00,101 days 00:00:00,89 days 00:00:00,64 days 00:00:00,82 days 00:00:00,168 days 00:00:00,188 days 00:00:00
Avg. Trade Duration,23 days 00:00:00,22 days 00:00:00,22 days 00:00:00,21 days 00:00:00,20 days 00:00:00,19 days 00:00:00,27 days 00:00:00,31 days 00:00:00,34 days 00:00:00
Profit Factor,2.445447337213954,2.0668028241846845,2.700871033804161,2.5503261919427915,4.908011252923431,1.0415309829720185,0.90970809375815,1.701572027847933,1.2723146754016845
Expectancy [%],5.959762266818354,5.264477621446601,7.363738487149134,8.517915731278139,22.17309221478946,0.044943566704567006,-0.807737611776239,2.935765555571627,0.790598632165812
SQN,0.7254808750101114,0.9054550051934724,1.3926338773550189,1.0803406556069288,1.0609916506083172,-0.5486160290410576,-1.2790381787723817,1.112976620330821,0.5517430917217251
Kelly Criterion,0.12019584840713371,0.11815365730956401,0.1465436464795407,0.13386176765369306,0.13971318122945847,-0.1066081226243969,-0.25655366897151255,0.10767393361773775,0.06095954513354657
